Gene	Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Acidianus ambivalens	Acidianus ambivalens	1.1436724597066394	-0.005778268381994599	0.3556554290100377	-0.016246816189698927	0.9870374864646426	NA
Acidianus brierleyi	Acidianus brierleyi	1.1559920105744603	0.03930215560435832	0.3505078015672898	0.11212918921809839	0.9107209737127967	0.9898806291120782
Acidianus sulfidivorans	Acidianus sulfidivorans	1.0916389746754829	0.12546604371503972	0.34295969346905986	0.3658332046134706	0.7144895411249743	NA
Acidilobus saccharovorans	Acidilobus saccharovorans	1.1535824713040121	0.11090825037249	0.33044589164850013	0.33563210551415973	0.737148310332453	0.9898806291120782
Aciduliprofundum boonei	Aciduliprofundum boonei	1.083817031495714	0.06133007439275032	0.344974340350328	0.1777815542178252	0.8588945341736807	NA
Aciduliprofundum sp. MAR08-339	Aciduliprofundum sp. MAR08-339	1.0680341890111784	-0.005779980676480077	0.34702549205820454	-0.016655781228632722	0.9867112237301563	NA
Aeropyrum pernix	Aeropyrum pernix	1.0556376268024197	-0.005779991682307228	0.34697838436814193	-0.01665807422797465	0.9867093944351729	NA
Archaeoglobus fulgidus	Archaeoglobus fulgidus	1.112117484452674	-0.09853905660007012	0.33691746579416043	-0.2924723904348506	0.7699254667134454	NA
Archaeoglobus profundus	Archaeoglobus profundus	1.244551904251528	0.125451282869589	0.3567316365703642	0.35166850934692506	0.7250868797301334	0.9898806291120782
Archaeoglobus sulfaticallidus	Archaeoglobus sulfaticallidus	1.0788920132772202	-0.005779971310601296	0.3470709574207568	-0.016653572380572863	0.9867129858915108	NA
Archaeoglobus veneficus	Archaeoglobus veneficus	1.094962804107396	0.01694066470582631	0.3475774674414327	0.048739248923495994	0.9611270969111924	NA
Caldisphaera lagunensis	Caldisphaera lagunensis	1.0658104172377139	0.12545984587116965	0.3428479493961474	0.36593436271717555	0.7144140543215771	NA
Candidatus Mancarchaeum acidiphilum	Candidatus Mancarchaeum acidiphilum	1.0624561031862905	0.01693955418027756	0.3462571139522092	0.04892189502456136	0.9609815400454471	NA
Candidatus Methanomassiliicoccus intestinalis	Candidatus Methanomassiliicoccus intestinalis	536.7065944916607	0.08375105326488315	0.6692324812690232	0.12514493185697043	0.9004088123974474	0.9898806291120782
Candidatus Methanoplasma termitum	Candidatus Methanoplasma termitum	1.4660145050975912	0.06126225003453676	0.40573662105918623	0.15099019130836658	0.8799834533914943	0.9898806291120782
